gui, uci
engine, id name Watchdog
engine, id author OGBlackDiamond - Caden Feller
engine, uciok
gui, isready
engine, readyok
gui, setoption name UCI_Chess960 value false
gui, position fen rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1 moves e2e4
gui, go wtime 180405 btime 180000 winc 2000 binc 2000
engine, bestmove a7a6
gui, position fen rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1 moves e2e4 a7a6 d2d4
gui, go wtime 180973 btime 182000 winc 2000 binc 2000
engine, bestmove a6a5
gui, position fen rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1 moves e2e4 a7a6 d2d4 a6a5 c2c4
gui, go wtime 179569 btime 184000 winc 2000 binc 2000
engine, bestmove a5a4
gui, position fen rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1 moves e2e4 a7a6 d2d4 a6a5 c2c4 a5a4 d1h5
gui, go wtime 176619 btime 186000 winc 2000 binc 2000
engine, bestmove a4a3
gui, position fen rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1 moves e2e4 a7a6 d2d4 a6a5 c2c4 a5a4 d1h5 a4a3 c4c5
gui, go wtime 174630 btime 188000 winc 2000 binc 2000
engine, bestmove a3b2
gui, position fen rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1 moves e2e4 a7a6 d2d4 a6a5 c2c4 a5a4 d1h5 a4a3 c4c5 a3b2 f1c4
gui, go wtime 173983 btime 190000 winc 2000 binc 2000
engine, info string bitboard() returned nil
engine, info string bitboard() returned nil
gui, quit